1,26
2,15
3,21
4,33
5,62
6,21
7,61
8,33
9,59
10,95
11,80
12,99
13,68
14,69
15,89
16,53
17,41
18,74
19,80
20,27
21,85
22,44
23,95
24,89
25,3
26,2
27,65
28,6
29,2
30,52
31,55
32,15
33,8
34,97
35,64
36,19
37,28
38,81
39,58
40,36
41,91
42,18
43,32
44,27
45,76
46,78
47,73
48,33
49,74
50,1
51,71
52,82
53,53
54,42
55,65
56,22
57,60
58,71
59,50
60,51
61,76
62,23
63,63
64,65
65,56
66,18
67,3
68,33
69,94
70,55
71,95
72,54
73,50
74,43
75,49
76,46
77,82
78,54
79,12
80,7
81,10
82,2
83,37
84,35
85,57
86,76
87,51
88,50
89,82
90,17
91,71
92,86
93,13
94,2
95,78
96,73
97,13
98,26
99,53
100,52
101,33
102,14
103,24
104,21
105,99
106,5
107,83
108,31
109,9
110,34
111,55
112,60
113,22
114,94
115,69
116,85
117,91
118,77
119,49
120,32
121,22
122,39
123,79
124,93
125,6
126,47
127,99
128,67
129,35
130,91
131,3
132,23
133,52
134,77
135,32
136,48
137,14
138,40
139,17
140,66
141,42
142,91
143,3
144,77
145,30
146,76
147,39
148,30
149,46
150,34
151,80
152,86
153,55
154,77
155,68
156,34
157,92
158,70
159,23
160,85
161,62
162,70
163,94
164,27
165,73
166,54
167,89
168,41
169,24
170,55
171,1
172,19
173,51
174,86
175,15
176,13
177,10
178,66
179,62
180,9
181,1
182,47
183,46
184,48
185,25
186,69
187,53
188,89
189,19
190,38
191,25
192,79
193,77
194,15
195,73
196,45
197,86
198,98
199,10
200,40
201,28
202,85
203,96
204,60
205,82
206,17
207,6
208,66
209,82
210,95
211,74
212,31
213,10
214,82
215,83
216,21
217,53
218,76
219,4
220,9
221,21
222,77
223,88
224,7
225,86
226,17
227,16
228,72
229,15
230,13
231,56
232,30
233,77
234,93
235,73
236,3
237,73
238,3
239,58
240,75
241,82
242,25
243,93
244,83
245,37
246,39
247,78
248,86
249,99
250,38
251,15
252,80
253,7
254,14
255,66
256,10
257,25
258,39
259,89
260,19
261,47
262,84
263,75
264,89
265,10
266,2
267,36
268,73
269,90
270,48
271,76
272,34
273,28
274,32
275,76
276,80
277,51
278,89
279,18
280,16
281,35
282,97
283,40
284,99
285,67
286,62
287,16
288,68
289,23
290,10
291,72
292,49
293,28
294,45
295,100
296,37
297,34
298,94
299,75
300,38
301,1
302,60
303,57
304,54
305,91
306,75
307,1
308,99
309,67
310,63
311,1
312,14
313,18
314,77
315,5
316,76
317,46
318,87
319,53
320,10
321,57
322,14
323,29
324,83
325,60
326,66
327,46
328,69
329,65
330,26
331,85
332,60
333,36
334,64
335,24
336,26
337,38
338,77
339,2
340,76
341,9
342,46
343,82
344,28
345,18
346,61
347,58
348,55
349,1
350,49
351,27
352,15
353,73
354,11
355,99
356,93
357,37
358,100
359,27
360,88
361,5
362,8
363,18
364,45
365,55
366,62
367,80
368,7
369,62
370,70
371,87
372,38
373,55
374,28
375,19
376,90
377,80
378,98
379,57
380,73
381,89
382,11
383,12
384,67
385,16
386,100
387,90
388,5
389,59
390,83
391,29
392,43
393,45
394,13
395,79
396,20
397,80
398,85
399,8
400,92
401,50
402,67
403,73
404,80
405,62
406,33
407,75
408,93
409,34
410,33
411,3
412,69
413,11
414,63
415,65
416,18
417,46
418,29
419,33
420,81
421,73
422,43
423,66
424,46
425,54
426,43
427,49
428,88
429,37
430,62
431,92
432,49
433,17
434,60
435,87
436,56
437,76
438,98
439,9
440,8
441,3
442,62
443,89
444,93
445,78
446,80
447,52
448,74
449,76
450,24
451,54
452,31
453,47
454,36
455,44
456,68
457,76
458,32
459,41
460,39
461,62
462,66
463,65
464,6
465,39
466,7
467,97
468,57
469,54
470,1
471,19
472,54
473,52
474,72
475,27
476,79
477,5
478,99
479,60
480,93
481,49
482,40
483,33
484,14
485,51
486,47
487,12
488,88
489,34
490,99
491,46
492,51
493,81
494,33
495,22
496,3
497,6
498,86
499,81
500,20
501,13
502,95
503,76
504,82
505,41
506,34
507,54
508,99
509,45
510,61
511,54
512,88
513,37
514,15
515,41
516,80
517,66
518,66
519,60
520,83
521,67
522,7
523,95
524,91
525,98
526,79
527,62
528,71
529,2
530,3
531,32
532,15
533,29
534,96
